FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
364,"討","chastise",2017-04-09 10:31:29,2017-08-10,7,8,30
365,"訓","instruction",2017-05-04 07:09:50,2017-09-15,7,3,24
366,"詔","imperial edict",2017-05-29 21:35:54,2017-06-18,4,9,33
367,"詰","packed",2017-05-30 08:01:04,2017-06-28,5,9,31
368,"話","tale",2017-04-03 10:29:38,2017-08-08,7,1,15
369,"詠","recitation",2017-04-19 16:07:41,2017-08-02,7,5,19
370,"詩","poem",2017-03-19 11:38:56,2017-10-15,8,2,15
371,"語","word",2017-05-18 07:11:35,2017-07-24,6,3,20
372,"読","read",2017-04-03 10:15:45,2017-07-26,7,9,38
373,"調","tune",2017-03-05 12:06:03,2017-07-16,7,7,35
374,"談","discuss",2017-04-27 07:05:00,2017-08-26,7,3,23
375,"諾","consent",2017-05-30 08:17:41,2017-07-24,6,13,38
376,"諭","rebuke",2017-03-14 10:34:36,2017-07-05,7,5,29
377,"式","style",2017-04-19 10:56:33,2017-08-26,7,4,21
378,"試","test",2017-05-28 12:58:30,2017-06-26,5,8,29
379,"弐","II (two)",2017-04-06 21:40:10,2017-08-15,7,3,21
380,"域","range",2017-03-05 11:32:34,2017-07-05,7,15,41
381,"賊","burglar",2017-04-21 20:31:29,2017-08-21,7,7,32
382,"栽","plantation",2017-04-27 11:38:35,2017-09-02,7,3,23
383,"載","load",2017-04-27 11:33:41,2017-09-06,7,9,38
384,"茂","overgrown",2017-06-08 23:42:10,2017-07-04,5,10,38
385,"戚","relatives",2017-06-06 07:10:59,2017-06-21,4,20,40
386,"成","turn into",2017-04-27 22:15:30,2017-09-04,7,1,14
387,"城","castle",2017-03-21 10:05:10,2017-07-12,7,2,19
388,"誠","sincerity",2017-06-01 11:49:44,2017-07-05,5,12,35
389,"威","intimidate",2017-05-27 22:39:03,2017-06-25,5,9,25
